Organism,Speed,x,y
Ovobacter propellens,1000,16813.483095079868,12696.547162124676
Ovobacter propellens,1000,-112922.65937074707,-189173.49546634682
Ovobacter propellens,1000,-95829.29335601811,-21938.777919607524
Ovobacter propellens,1000,6959.763873105319,95193.02036651951
Ovobacter propellens,1000,126051.30933733414,59252.29762545472
Ovobacter propellens,1000,125713.98989080808,-193512.12838952805
Ovobacter propellens,1000,35751.118390339914,256142.38316721993
Ovobacter propellens,1000,-101524.624230392,57838.07407370749
Ovobacter propellens,1000,62316.08336173467,126937.75152449969
Ovobacter propellens,1000,115101.21520048258,-233290.41493082192
Ovobacter propellens,1000,-143678.84392695344,-64937.143289221705
Ovobacter propellens,1000,28841.157574677767,-138802.72636411776
Ovobacter propellens,1000,181025.58009224973,-93413.55954294157
Ovobacter propellens,1000,19903.183930633044,-100586.74146669786
Ovobacter propellens,1000,58003.08038594085,-38179.841627032285
Ovobacter propellens,1000,-27936.011003402025,-143649.9199263638
Ovobacter propellens,1000,-3376.5190835288595,-41009.219551244576
Ovobacter propellens,1000,-9018.466860176779,47400.56200084304
Ovobacter propellens,1000,-194467.15837309908,231389.25314274745
Ovobacter propellens,1000,-116208.69605643602,1176.9713630035283
Ovobacter propellens,1000,-48048.580352296434,77367.44639436365
Ovobacter propellens,1000,16822.4680655829,-50643.37680621761
Ovobacter propellens,1000,69936.70668488,-128295.8397716338
Ovobacter propellens,1000,187505.03185589146,-50853.20392768132
Ovobacter propellens,1000,697.1375685581336,-245504.17818050037
Ovobacter propellens,1000,92614.51650532565,-83602.96818874826
Ovobacter propellens,1000,-60120.18060450644,78378.2627388357
Ovobacter propellens,1000,-91026.89002123916,-300743.9092273392
Ovobacter propellens,1000,-253764.1883507384,81795.86332486146
Ovobacter propellens,1000,-91813.82466367463,-33290.33586908704
Ovobacter propellens,1000,68973.54671853299,-98646.5287402335
Ovobacter propellens,1000,98837.31001038116,93924.72222923144
Ovobacter propellens,1000,-46934.21565277113,-34894.629925491005
Ovobacter propellens,1000,51937.560317007556,25558.94750588028
Ovobacter propellens,1000,-78675.14474949377,-100785.61411402929
Ovobacter propellens,1000,-134356.5251014943,32548.657899963637
Ovobacter propellens,1000,-57623.30985570833,-108418.50549094038
Ovobacter propellens,1000,-46911.239820403265,145113.88072053288
Ovobacter propellens,1000,-243061.8113917149,-227132.753808456
Ovobacter propellens,1000,-40008.035734160905,-224369.22356776017
Ovobacter propellens,1000,190142.81898396515,-34832.48414533775
Ovobacter propellens,1000,-29856.62226564677,39616.19091793098
Ovobacter propellens,1000,23957.638858364935,1380.0414068659286
Ovobacter propellens,1000,83618.95099428028,-92054.83574102126
Ovobacter propellens,1000,-45904.208828474955,35046.2635511457
Ovobacter propellens,1000,-45636.24176037088,24189.088971400288
Ovobacter propellens,1000,46370.77966626033,-8752.59569895754
Ovobacter propellens,1000,128117.48656573407,214021.40233330135
Ovobacter propellens,1000,-190703.96848634622,-41711.775683486405
Ovobacter propellens,1000,-86548.5419242338,-224504.00461976253
Ovobacter propellens,1000,-107397.72784763123,46004.16051608634
Ovobacter propellens,1000,156721.48843108898,-93189.48587060682
Ovobacter propellens,1000,-94066.48068380036,-72228.03949077071
Ovobacter propellens,1000,41641.240703758456,-110022.9654754494
Ovobacter propellens,1000,-143980.92350329336,39350.09615033678
Ovobacter propellens,1000,270655.7367826548,-132552.0331352445
Ovobacter propellens,1000,43392.48218551318,-90696.91355715616
Ovobacter propellens,1000,-151065.83734990508,-92480.81407208412
Ovobacter propellens,1000,-29394.013909526446,120549.66855624251
Ovobacter propellens,1000,27487.918567222703,242428.02269651307
Ovobacter propellens,1000,-40397.8219538816,179950.6286659558
Ovobacter propellens,1000,53436.65357623613,-144399.5572555665
Ovobacter propellens,1000,157601.30072180444,-122675.23745042598
Ovobacter propellens,1000,135192.73511251775,-319093.8399591802
Ovobacter propellens,1000,61393.952613113746,106258.57203363885
Ovobacter propellens,1000,-68819.64977498568,150713.47873027483
Ovobacter propellens,1000,21834.68426388023,81435.49951120467
Ovobacter propellens,1000,150433.87115166802,-41922.24809827998
Ovobacter propellens,1000,-135248.1433168895,-148078.92274427813
Ovobacter propellens,1000,106882.0217142969,-41191.00019605652
Ovobacter propellens,1000,-85827.15904047644,-146288.8730211874
Ovobacter propellens,1000,-104705.88471797765,92792.7120140222
Ovobacter propellens,1000,139844.59959759514,63793.24827495059
Ovobacter propellens,1000,-33590.96581887732,73121.68070901958
Ovobacter propellens,1000,-61750.51522678212,-152792.43530781943
Ovobacter propellens,1000,-125822.74950147895,106603.45088613943
Ovobacter propellens,1000,-139533.51998314366,91816.85082390964
Ovobacter propellens,1000,-52750.204572298426,219437.51068368228
Ovobacter propellens,1000,-27932.84268830014,-76045.58498449037
Ovobacter propellens,1000,27614.70976595035,34087.29182140404
Ovobacter propellens,1000,-32269.3711737629,-210404.5009311693
Ovobacter propellens,1000,-20793.601701190182,96112.54141328462
Ovobacter propellens,1000,149216.186837004,249325.32900862527
Ovobacter propellens,1000,-188438.3681136316,95272.53837485195
Ovobacter propellens,1000,-70910.98372280103,56158.74585227959
Ovobacter propellens,1000,-42091.5072067939,-23182.382967488065
Ovobacter propellens,1000,27820.222002056933,-26342.139136116235
Ovobacter propellens,1000,-11544.501111142923,78390.07274701716
Ovobacter propellens,1000,87182.39878934031,-26514.21694144015
Ovobacter propellens,1000,26443.871272390952,211345.1655857971
Ovobacter propellens,1000,126204.51893595979,-157560.76292234182
Ovobacter propellens,1000,46972.91945953477,-280572.88980641647
Ovobacter propellens,1000,-103374.63196749944,-94933.50634340021
Ovobacter propellens,1000,-69258.16138727959,40130.8712896809
Ovobacter propellens,1000,-166452.67608717273,-165652.7061044456
Ovobacter propellens,1000,-61218.97721801654,-76159.91980465138
Ovobacter propellens,1000,198241.02363884306,-56670.53010758703
Ovobacter propellens,1000,-101830.52010135539,185120.17217112426
Ovobacter propellens,1000,-175802.7309810499,233473.72130262392
Ovobacter propellens,1000,-121372.27857294062,231899.88157154358
Ovobacter propellens,1000,134631.60879052075,-166500.11823938705
Ovobacter propellens,1000,-29330.480635722677,35144.84500189968
Ovobacter propellens,1000,-113150.93096009063,147808.82994145073
Ovobacter propellens,1000,-99642.04616782266,74980.35873770884
Ovobacter propellens,1000,63851.8312929139,-71317.40685879404
Ovobacter propellens,1000,-58106.13693656641,91306.34440608644
Ovobacter propellens,1000,-169071.41206752436,107999.26550944737
Ovobacter propellens,1000,139269.8164193478,-122526.93115799683
Ovobacter propellens,1000,-247534.02853032548,-104751.8585192613
Ovobacter propellens,1000,-117652.19273644852,-26882.929740023006
