Organism,Speed,x,y
Ovobacter propellens,1000,43175141.710832484,0
Ovobacter propellens,1000,43298465.01206886,0
Ovobacter propellens,1000,43219511.76505093,0
Ovobacter propellens,1000,43086582.83416275,0
Ovobacter propellens,1000,43110944.60429391,0
Ovobacter propellens,1000,43281771.16441005,0
Ovobacter propellens,1000,43272865.102035925,0
Ovobacter propellens,1000,43170887.22418458,0
Ovobacter propellens,1000,43274505.569386065,0
Ovobacter propellens,1000,43214237.939834364,0
Ovobacter propellens,1000,43260906.65261261,0
Ovobacter propellens,1000,43221412.24349826,0
Ovobacter propellens,1000,43190664.95872941,0
Ovobacter propellens,1000,43169288.1636119,0
Ovobacter propellens,1000,43219898.327533856,0
Ovobacter propellens,1000,43089409.983146235,0
Ovobacter propellens,1000,43116183.37830342,0
Ovobacter propellens,1000,43170532.05915727,0
Ovobacter propellens,1000,43265104.40357472,0
Ovobacter propellens,1000,43224472.91227919,0
Ovobacter propellens,1000,43287711.96312248,0
Ovobacter propellens,1000,43239737.09033243,0
Ovobacter propellens,1000,43238798.362931006,0
Ovobacter propellens,1000,43168814.07389813,0
Ovobacter propellens,1000,43179077.12131226,0
Ovobacter propellens,1000,43267047.310084805,0
Ovobacter propellens,1000,43241740.59417984,0
Ovobacter propellens,1000,43158030.60870315,0
Ovobacter propellens,1000,43316661.00337961,0
Ovobacter propellens,1000,43153055.39697874,0
Ovobacter propellens,1000,43198509.91673535,0
Ovobacter propellens,1000,43142648.79763522,0
Ovobacter propellens,1000,43375655.89375328,0
Ovobacter propellens,1000,43313360.7244452,0
Ovobacter propellens,1000,43275169.98383589,0
Ovobacter propellens,1000,43273358.63413289,0
Ovobacter propellens,1000,43309318.890585095,0
Ovobacter propellens,1000,43284644.14281189,0
Ovobacter propellens,1000,43149389.98718164,0
Ovobacter propellens,1000,43171800.34339707,0
Ovobacter propellens,1000,43208136.206670895,0
Ovobacter propellens,1000,43182506.97043306,0
Ovobacter propellens,1000,43179742.46359174,0
Ovobacter propellens,1000,43115292.36691491,0
Ovobacter propellens,1000,43202834.731442854,0
Ovobacter propellens,1000,43348570.42130315,0
Ovobacter propellens,1000,43326867.19549307,0
Ovobacter propellens,1000,43160148.33290759,0
Ovobacter propellens,1000,43191566.054807045,0
Ovobacter propellens,1000,43220576.959313594,0
Ovobacter propellens,1000,43309082.81664201,0
Ovobacter propellens,1000,43248303.22802812,0
Ovobacter propellens,1000,43181065.59176044,0
Ovobacter propellens,1000,43241233.74081449,0
Ovobacter propellens,1000,43092213.00790668,0
Ovobacter propellens,1000,43167270.07046668,0
Ovobacter propellens,1000,43131666.08663648,0
Ovobacter propellens,1000,43132402.912120566,0
Ovobacter propellens,1000,43233429.957997285,0
Ovobacter propellens,1000,43099463.40922289,0
Ovobacter propellens,1000,43183595.35569232,0
