Organism,Speed,x,y
Twitching motility,1,43119.7045968161,0
Twitching motility,1,43077.624804759165,0
Twitching motility,1,43223.49407417234,0
Twitching motility,1,43054.683429263765,0
Twitching motility,1,43152.772054912755,0
Twitching motility,1,43248.07287735166,0
Twitching motility,1,43263.20372745558,0
Twitching motility,1,43088.31388318702,0
Twitching motility,1,43286.64923562016,0
Twitching motility,1,43260.19905475364,0
Twitching motility,1,43169.52338246233,0
Twitching motility,1,43237.43973264797,0
Twitching motility,1,43339.06036480982,0
Twitching motility,1,43269.76953026932,0
Twitching motility,1,43067.33635402494,0
Twitching motility,1,43148.700329442276,0
Twitching motility,1,43298.0218518076,0
Twitching motility,1,43139.49324982194,0
Twitching motility,1,43223.74933291203,0
Twitching motility,1,43230.913392354036,0
Twitching motility,1,43204.14813077287,0
Twitching motility,1,43017.81577013992,0
Twitching motility,1,43182.970769270556,0
Twitching motility,1,43260.52124055824,0
Twitching motility,1,43073.38843322452,0
Twitching motility,1,43311.96788750286,0
Twitching motility,1,43194.20901163644,0
Twitching motility,1,43269.78578005615,0
Twitching motility,1,43174.83124457253,0
Twitching motility,1,43026.031548936386,0
Twitching motility,1,43153.42899758951,0
Twitching motility,1,43166.09097503428,0
Twitching motility,1,43156.23988810601,0
Twitching motility,1,43288.28868376021,0
Twitching motility,1,43302.254148837645,0
Twitching motility,1,43012.30406443123,0
Twitching motility,1,43065.47728032037,0
Twitching motility,1,43235.522882086225,0
Twitching motility,1,43170.635234384565,0
Twitching motility,1,43203.272153764265,0
Twitching motility,1,43297.00429936475,0
Twitching motility,1,43076.70678814477,0
Twitching motility,1,43129.0636596682,0
Twitching motility,1,43318.43772071856,0
Twitching motility,1,43175.58568205009,0
Twitching motility,1,43262.44353332091,0
Twitching motility,1,42936.02636784245,0
Twitching motility,1,43305.41416692105,0
Twitching motility,1,43157.01021848968,0
Twitching motility,1,43209.549786093645,0
Twitching motility,1,43178.88677995792,0
Twitching motility,1,43171.677384611685,0
Twitching motility,1,43148.55802388536,0
Twitching motility,1,43108.876317125745,0
Twitching motility,1,43110.95767185488,0
Twitching motility,1,43323.13331788196,0
Twitching motility,1,43042.661296550184,0
Twitching motility,1,43263.91505453293,0
Twitching motility,1,43237.23016083217,0
Twitching motility,1,43244.162751287455,0
Twitching motility,1,43258.18272486655,0
Twitching motility,1,43122.4327423824,0
Twitching motility,1,43085.5215727929,0
Twitching motility,1,43164.889723969856,0
Twitching motility,1,43074.81766260625,0
Twitching motility,1,43184.52081109141,0
Twitching motility,1,43237.68182469951,0
Twitching motility,1,43129.98362065549,0
Twitching motility,1,43142.43685976742,0
Twitching motility,1,43197.84291656711,0
Twitching motility,1,43249.221351948334,0
Twitching motility,1,43330.54638512549,0
Twitching motility,1,43164.83820198104,0
Twitching motility,1,43178.87612470286,0
Twitching motility,1,43190.44870039937,0
Twitching motility,1,43255.06922832434,0
Twitching motility,1,43145.04111606814,0
Twitching motility,1,43249.34239828936,0
Twitching motility,1,43286.733357922174,0
Twitching motility,1,43091.110399404075,0
Twitching motility,1,43078.716560629895,0
Twitching motility,1,43244.76160568092,0
Twitching motility,1,43281.01999655762,0
Twitching motility,1,43306.63496130938,0
Twitching motility,1,43038.42806391185,0
Twitching motility,1,43272.07001052983,0
Twitching motility,1,43148.120148737915,0
Twitching motility,1,43377.63918599859,0
Twitching motility,1,43126.72560010268,0
Twitching motility,1,43330.98901275336,0
Twitching motility,1,43277.580545202596,0
Twitching motility,1,43334.64471719507,0
Twitching motility,1,43276.61659136671,0
Twitching motility,1,43219.633150444366,0
Twitching motility,1,43123.20340438001,0
Twitching motility,1,43221.265651650494,0
Twitching motility,1,43137.65515963477,0
Twitching motility,1,43176.90215412481,0
Twitching motility,1,43239.88694368838,0
Twitching motility,1,43230.80214442732,0
Twitching motility,1,43198.744916683296,0
Twitching motility,1,43222.167070380645,0
Twitching motility,1,43221.98457817198,0
Twitching motility,1,43272.78250091686,0
Twitching motility,1,43212.873693711124,0
Twitching motility,1,43281.96138450713,0
Twitching motility,1,43158.936113692354,0
Twitching motility,1,43202.88355878531,0
Twitching motility,1,43150.44125680113,0
Twitching motility,1,43166.18999662623,0
Twitching motility,1,43278.19954205258,0
Twitching motility,1,43247.599125910085,0
Twitching motility,1,43204.4131202118,0
Twitching motility,1,43371.33032249287,0
Twitching motility,1,43377.71820939379,0
Twitching motility,1,43152.28696964425,0
Twitching motility,1,43286.24710126361,0
Twitching motility,1,43308.15253928723,0
Twitching motility,1,43140.175719567575,0
Twitching motility,1,43049.37949224911,0
Twitching motility,1,43121.69294242817,0
Twitching motility,1,43255.67237009574,0
Twitching motility,1,43179.96575095737,0
Twitching motility,1,43269.55171889439,0
Twitching motility,1,43275.0035062572,0
Twitching motility,1,43157.73028855631,0
Twitching motility,1,43275.95778674702,0
Twitching motility,1,43245.026423956035,0
Twitching motility,1,43013.19462452154,0
Twitching motility,1,43099.39196501556,0
Twitching motility,1,43110.02880324726,0
Twitching motility,1,43142.515619983664,0
Twitching motility,1,43271.79926047847,0
Twitching motility,1,43283.856091320515,0
Twitching motility,1,43306.68883337779,0
Twitching motility,1,43265.02288206341,0
Twitching motility,1,43291.50588908442,0
Twitching motility,1,43153.35742816818,0
Twitching motility,1,43137.18621276622,0
Twitching motility,1,43231.888490621,0
Twitching motility,1,43299.59719304764,0
Twitching motility,1,43196.557207664475,0
Twitching motility,1,43209.76368483505,0
Twitching motility,1,43279.82197278086,0
Twitching motility,1,43148.60294786049,0
Twitching motility,1,43107.87883008411,0
Twitching motility,1,43179.60653857095,0
Twitching motility,1,43319.543865439715,0
Twitching motility,1,43224.68003574037,0
Twitching motility,1,43201.66297577019,0
Twitching motility,1,43106.262257728726,0
Twitching motility,1,43310.38833196694,0
Twitching motility,1,43244.386864218395,0
Twitching motility,1,43234.460815850645,0
Twitching motility,1,43205.8240021246,0
Twitching motility,1,43224.0625357572,0
Twitching motility,1,43346.262870851206,0
Twitching motility,1,43315.22507119877,0
Twitching motility,1,43167.372092300095,0
Twitching motility,1,43173.152060477296,0
Twitching motility,1,43172.26593329571,0
Twitching motility,1,43063.27325730515,0
Twitching motility,1,43199.48949291231,0
Twitching motility,1,43155.60605762433,0
Twitching motility,1,43176.44686175068,0
Twitching motility,1,43250.701847972814,0
Twitching motility,1,43175.14576662495,0
Twitching motility,1,43145.91262248182,0
Twitching motility,1,43237.38221527822,0
Twitching motility,1,43159.83225055225,0
Twitching motility,1,43150.42092760629,0
Twitching motility,1,43200.29830919509,0
Twitching motility,1,43274.26609560917,0
Twitching motility,1,43081.73907650891,0
Twitching motility,1,43231.36601517373,0
Twitching motility,1,43101.659321552375,0
Twitching motility,1,43266.71034087613,0
Twitching motility,1,43188.0711792442,0
Twitching motility,1,43273.128573996946,0
Twitching motility,1,43145.25934796571,0
Twitching motility,1,43188.07085507619,0
Twitching motility,1,43274.964449511375,0
Twitching motility,1,43178.81650252058,0
Twitching motility,1,43251.889352494385,0
Twitching motility,1,43172.82649264578,0
Twitching motility,1,43273.431271539535,0
Twitching motility,1,43289.27510205889,0
Twitching motility,1,43292.78274096013,0
Twitching motility,1,43231.12013019412,0
Twitching motility,1,43166.65301302192,0
Twitching motility,1,43045.9108526269,0
Twitching motility,1,43187.71012015571,0
Twitching motility,1,43216.798365290975,0
Twitching motility,1,43040.28471844806,0
Twitching motility,1,43080.603976961924,0
Twitching motility,1,43246.516009124694,0
Twitching motility,1,43222.223284061765,0
Twitching motility,1,43162.98035464133,0
Twitching motility,1,43319.39210116444,0
Twitching motility,1,42979.22232483188,0
Twitching motility,1,43262.019553500926,0
Twitching motility,1,43302.49709378951,0
Twitching motility,1,43271.42937192018,0
Twitching motility,1,43300.648669451475,0
Twitching motility,1,43307.891416972736,0
Twitching motility,1,43323.90555925178,0
Twitching motility,1,43116.978345826035,0
Twitching motility,1,43134.98354131309,0
Twitching motility,1,43422.10893258592,0
Twitching motility,1,43328.16600820911,0
Twitching motility,1,43274.15450529079,0
Twitching motility,1,43332.99115959508,0
Twitching motility,1,43274.0264928313,0
Twitching motility,1,43156.703164515784,0
Twitching motility,1,43199.554540097946,0
Twitching motility,1,43052.167347374605,0
Twitching motility,1,43293.944539013086,0
Twitching motility,1,43153.29466444161,0
Twitching motility,1,43128.81678220886,0
Twitching motility,1,43151.038619088475,0
Twitching motility,1,43215.86007037829,0
Twitching motility,1,43234.49143976276,0
Twitching motility,1,43189.24915842293,0
Twitching motility,1,43166.53525565658,0
Twitching motility,1,43020.608635208104,0
Twitching motility,1,43211.99139280501,0
Twitching motility,1,43289.628892053384,0
Twitching motility,1,43152.98517037835,0
Twitching motility,1,43234.507361203665,0
Twitching motility,1,43273.57041321485,0
Twitching motility,1,43028.55607263115,0
Twitching motility,1,43192.58036607597,0
Twitching motility,1,43081.11039676843,0
Twitching motility,1,43070.38742776145,0
Twitching motility,1,43325.237324750284,0
Twitching motility,1,43272.90132053732,0
Twitching motility,1,43231.276951435255,0
Twitching motility,1,43114.146888592746,0
Twitching motility,1,43302.30507649691,0
Twitching motility,1,43258.352712367894,0
Twitching motility,1,43136.54572610231,0
Twitching motility,1,43118.79930495168,0
Twitching motility,1,43090.3923784059,0
Twitching motility,1,43132.42116322112,0
Twitching motility,1,43170.7167164674,0
Twitching motility,1,43156.941569719,0
Twitching motility,1,43162.39277205663,0
Twitching motility,1,43226.025724847335,0
Twitching motility,1,43232.23775573913,0
Twitching motility,1,43013.4818438536,0
Twitching motility,1,43126.765880290885,0
Twitching motility,1,43184.69429543475,0
Twitching motility,1,43264.4910737162,0
Twitching motility,1,42990.066569934366,0
Twitching motility,1,43172.932052368764,0
Twitching motility,1,43306.93722221698,0
Twitching motility,1,43185.827798261074,0
Twitching motility,1,43282.0251546856,0
Twitching motility,1,43032.49230077141,0
Twitching motility,1,43218.64753761841,0
Twitching motility,1,43211.89702778775,0
Twitching motility,1,43145.986871668836,0
Twitching motility,1,43233.903088020394,0
Twitching motility,1,43102.07333726715,0
Twitching motility,1,43151.35930273053,0
Twitching motility,1,43362.43695000326,0
Twitching motility,1,43191.15065267193,0
Twitching motility,1,43183.00469863927,0
Twitching motility,1,43232.33348342776,0
Twitching motility,1,43077.893372122664,0
Twitching motility,1,43304.50567308534,0
Twitching motility,1,43018.01149209542,0
Twitching motility,1,43185.09904706036,0
Twitching motility,1,43183.54137835349,0
Twitching motility,1,43305.95555831748,0
Twitching motility,1,43132.980997560546,0
Twitching motility,1,43272.04715600191,0
Twitching motility,1,43158.11008399562,0
Twitching motility,1,43181.720486269565,0
Twitching motility,1,43285.40270228521,0
Twitching motility,1,43170.31966049783,0
Twitching motility,1,43250.26970908791,0
Twitching motility,1,43260.91108287941,0
Twitching motility,1,43298.269937873585,0
Twitching motility,1,43175.03947992553,0
Twitching motility,1,43187.75009491597,0
Twitching motility,1,43250.74879441317,0
Twitching motility,1,43160.520180848194,0
Twitching motility,1,43155.43830772955,0
Twitching motility,1,43154.26746738725,0
Twitching motility,1,43250.64091397356,0
Twitching motility,1,43029.720214255154,0
Twitching motility,1,43085.82163341413,0
Twitching motility,1,43161.931603789795,0
Twitching motility,1,43208.584646956995,0
Twitching motility,1,43147.30022090813,0
Twitching motility,1,43413.35829742788,0
Twitching motility,1,43109.60540432064,0
Twitching motility,1,43171.08533922909,0
Twitching motility,1,43148.03031812608,0
Twitching motility,1,43295.00467362371,0
Twitching motility,1,43231.08747465536,0
Twitching motility,1,43310.22861245484,0
Twitching motility,1,43291.03882199479,0
Twitching motility,1,43186.25796241406,0
Twitching motility,1,43305.936185809784,0
Twitching motility,1,43022.41781728063,0
Twitching motility,1,43343.92008186085,0
Twitching motility,1,43343.95370820374,0
Twitching motility,1,43102.08274772391,0
Twitching motility,1,43296.57926946785,0
Twitching motility,1,43228.202946572565,0
Twitching motility,1,43231.85301264748,0
Twitching motility,1,43202.981532903155,0
Twitching motility,1,43201.44691164233,0
Twitching motility,1,43178.581632397836,0
Twitching motility,1,43137.815000386676,0
Twitching motility,1,43296.26050328696,0
Twitching motility,1,43391.327875716146,0
Twitching motility,1,43265.9634434497,0
Twitching motility,1,43260.131444113096,0
Twitching motility,1,43216.480609346414,0
Twitching motility,1,43382.26306926762,0
Twitching motility,1,43171.61197150382,0
Twitching motility,1,43256.40214488399,0
Twitching motility,1,43173.350266767666,0
Twitching motility,1,43074.65140934219,0
Twitching motility,1,43264.626074600266,0
Twitching motility,1,43244.761819056,0
Twitching motility,1,43217.36028322438,0
Twitching motility,1,43283.31215700973,0
Twitching motility,1,43208.14689360326,0
Twitching motility,1,42995.62596795568,0
Twitching motility,1,43180.58563713194,0
Twitching motility,1,43223.50729381596,0
Twitching motility,1,43236.13020918006,0
Twitching motility,1,43177.784808880184,0
Twitching motility,1,43062.40882132854,0
Twitching motility,1,43185.1732958823,0
Twitching motility,1,43265.79793131701,0
Twitching motility,1,43286.88442546292,0
Twitching motility,1,43111.695433933986,0
Twitching motility,1,43208.454105996294,0
Twitching motility,1,43180.76990772528,0
Twitching motility,1,43099.02141012577,0
Twitching motility,1,43192.880586364074,0
Twitching motility,1,43276.78668293939,0
Twitching motility,1,43246.455623622285,0
Twitching motility,1,43270.720769122476,0
Twitching motility,1,43111.726946002804,0
Twitching motility,1,43185.68970829714,0
Twitching motility,1,43114.161395285046,0
Twitching motility,1,43212.25749454182,0
Twitching motility,1,43156.19544502697,0
Twitching motility,1,43353.72378239408,0
Twitching motility,1,43147.04584447667,0
Twitching motility,1,43190.536360109225,0
Twitching motility,1,43276.28544175532,0
Twitching motility,1,43173.990753509104,0
Twitching motility,1,43262.19148918311,0
Twitching motility,1,43133.5780719656,0
Twitching motility,1,43091.844281699276,0
Twitching motility,1,43116.45016089105,0
Twitching motility,1,43200.9418589219,0
Twitching motility,1,43118.000791764585,0
Twitching motility,1,43282.13508431567,0
Twitching motility,1,43319.15754738799,0
Twitching motility,1,43179.68044955027,0
Twitching motility,1,42992.5567829106,0
Twitching motility,1,43197.50116860028,0
Twitching motility,1,43100.590157514205,0
Twitching motility,1,43282.93537543295,0
Twitching motility,1,43216.275176062714,0
Twitching motility,1,43147.04484448023,0
Twitching motility,1,43297.01628744579,0
Twitching motility,1,43234.06904481887,0
Twitching motility,1,43018.13830147404,0
Twitching motility,1,43320.74757031631,0
Twitching motility,1,43216.20107806777,0
Twitching motility,1,43278.08960382617,0
Twitching motility,1,43135.530442401534,0
Twitching motility,1,43156.82594713685,0
Twitching motility,1,43295.07615298359,0
Twitching motility,1,43274.21384193981,0
Twitching motility,1,43339.16046568635,0
Twitching motility,1,43237.49965007277,0
Twitching motility,1,43231.35268389806,0
Twitching motility,1,43144.38151016319,0
Twitching motility,1,43230.88804810424,0
Twitching motility,1,43266.96740863938,0
Twitching motility,1,43255.54427796183,0
Twitching motility,1,43184.4105873066,0
Twitching motility,1,43122.17565310607,0
